filename,marker,mpp_um_per_px,counterstain_grade,n_nuclei_detected,n_positive,positive_density_per_mm2,percent_positive,percent_reportable,n_enclosed_cells,mean_membrane_completeness,median_cell_area_um2,note
ki-67 + control_viewcapture27.png,Ki67,0.5217,adequate,4933.0,649.0,1657.509491638693,13.156294344212446,True,,,,
ki-67-control_viewcapture19.png,Ki67,0.6422,adequate,3188.0,9.0,15.168928619267092,0.2823086574654956,True,,,,
ki-67-control_viewcapture21.png,Ki67,0.3361,adequate,989.0,1.0,6.153411739645319,0.1011122345803842,True,,,,
ki-67human skin d0123_viewcapture21.png,Ki67,0.7895,adequate,4631.0,2.0,2.2303793097001674,0.0431872165838911,True,,,,
ki-67human skin d0123_viewcapture23.png,Ki67,0.5217,adequate,2417.0,182.0,464.8177619079231,7.529995862639637,True,,,,
ki67100_viewcapture36.png,Ki67,0.4959,adequate,4826.0,1760.0,4974.820919762069,36.46912556983008,True,,,,
ki67100_viewcapture37.png,Ki67,0.9009,adequate,10439.0,3332.0,2853.67703055402,31.918766165341506,True,,,,
ki67100_viewcapture38.png,Ki67,0.5607,adequate,5441.0,1541.0,3407.175680607119,28.321999632420518,True,,,,
ki67150_viewcapture39.png,Ki67,2.439,adequate,456.0,42.0,4.907707721980039,9.210526315789473,True,,,,
ki67150_viewcapture40.png,Ki67,0.5556,adequate,4995.0,1195.0,2690.8930180670204,23.923923923923923,True,,,,
ki67150_viewcapture41.png,Ki67,0.9259,adequate,8295.0,2950.0,2391.9210921646973,35.56359252561784,True,,,,
ki672001hhnsallod0rnsd01l_viewcapture1.png,Ki67,0.381,marginal,154.0,68.0,325.62066735705395,44.15584415584416,True,,,,
ki672001hhnsallod0rnsd01l_viewcapture10.png,Ki67,0.3361,adequate,1101.0,332.0,2042.9326975622455,30.154405086285195,True,,,,
ki672001hhnsallod0rnsd01l_viewcapture11.png,Ki67,0.4348,adequate,1202.0,57.0,209.57949306195357,4.742096505823628,True,,,,
ki672001hhnsallod0rnsd01l_viewcapture12.png,Ki67,0.4348,adequate,1256.0,145.0,533.1408156839169,11.544585987261147,True,,,,
ki672001hhnsallod0rnsd01l_viewcapture13.png,Ki67,0.3846,adequate,1183.0,167.0,784.785394797042,14.116652578191038,True,,,,
ki672001hhnsallod0rnsd01l_viewcapture14.png,Ki67,0.6667,marginal,1349.0,769.0,1202.5923316782855,57.00518902891031,True,,,,
ki672001hhnsallod0rnsd01l_viewcapture15.png,Ki67,0.3478,marginal,518.0,247.0,1419.354237254551,47.68339768339768,True,,,,
ki672001hhnsallod0rnsd01l_viewcapture2.png,Ki67,0.2609,marginal,27.0,8.0,81.69487817542506,29.629629629629623,True,,,,
ki672001hhnsallod0rnsd01l_viewcapture5.png,Ki67,1.3514,adequate,4402.0,3.0,1.141843085218921,0.0681508405270331,True,,,,
ki672001hhnsallod0rnsd01l_viewcapture6.png,Ki67,1.0417,adequate,3655.0,6.0,3.843429531285268,0.1641586867305061,True,,,,
ki672001hhnsallod0rnsd01l_viewcapture7.png,Ki67,1.7699,adequate,6229.0,264.0,58.58136258830979,4.238240488039813,True,,,,
ki672001hhnsallod0rnsd01l_viewcapture8.png,Ki67,0.8036,adequate,3744.0,529.0,569.4148860232677,14.129273504273504,True,,,,
